date,Month,Day,location,population
2021-11-18,11,18,0,1710558
2021-11-18,11,18,1,476672
2021-11-18,11,18,2,1442008
2021-11-18,11,18,3,480925
2021-11-18,11,18,4,311515
2021-11-17,11,17,0,1710558
2021-11-17,11,17,1,476672
2021-11-17,11,17,2,1442008
2021-11-17,11,17,3,480925
2021-11-17,11,17,4,311515
2021-11-16,11,16,0,1710558
2021-11-16,11,16,1,476672
2021-11-16,11,16,2,1442008
2021-11-16,11,16,3,480925
2021-11-16,11,16,4,311515
2021-11-15,11,15,0,1710558
2021-11-15,11,15,1,476672
2021-11-15,11,15,2,1442008
2021-11-15,11,15,3,480925
2021-11-15,11,15,4,311515
2021-11-14,11,14,0,1710558
2021-11-14,11,14,1,476672
2021-11-14,11,14,2,1442008
2021-11-14,11,14,3,480925
2021-11-14,11,14,4,311515
2021-11-11,11,11,0,1710558
2021-11-11,11,11,1,476672
2021-11-11,11,11,2,1442008
2021-11-11,11,11,3,480925
2021-11-11,11,11,4,311515
2021-11-09,11,9,0,1710558
2021-11-09,11,9,1,476672
2021-11-09,11,9,2,1442008
2021-11-09,11,9,3,480925
2021-11-09,11,9,4,311515
2021-11-08,11,8,0,1710558
2021-11-08,11,8,1,476672
2021-11-08,11,8,2,1442008
2021-11-08,11,8,3,480925
2021-11-08,11,8,4,311515
2021-11-07,11,7,0,1710558
2021-11-07,11,7,1,476672
2021-11-07,11,7,2,1442008
2021-11-07,11,7,3,480925
2021-11-07,11,7,4,311515
2021-11-04,11,4,0,1710558
2021-11-04,11,4,1,476672
2021-11-04,11,4,2,1442008
2021-11-04,11,4,3,480925
2021-11-04,11,4,4,311515
2021-11-03,11,3,0,1710558
2021-11-03,11,3,1,476672
2021-11-03,11,3,2,1442008
2021-11-03,11,3,3,480925
2021-11-03,11,3,4,311515
2021-11-02,11,2,0,1710558
2021-11-02,11,2,1,476672
2021-11-02,11,2,2,1442008
2021-11-02,11,2,3,480925
2021-11-02,11,2,4,311515
2021-10-31,10,31,0,1710558
2021-10-31,10,31,1,476672
2021-10-31,10,31,2,1442008
2021-10-31,10,31,3,480925
2021-10-31,10,31,4,311515
2021-10-28,10,28,0,1710558
2021-10-28,10,28,1,476672
2021-10-28,10,28,2,1442008
2021-10-28,10,28,3,480925
2021-10-28,10,28,4,311515
2021-10-27,10,27,0,1710558
2021-10-27,10,27,1,476672
2021-10-27,10,27,2,1442008
2021-10-27,10,27,3,480925
2021-10-27,10,27,4,311515
2021-10-26,10,26,0,1710558
2021-10-26,10,26,1,476672
2021-10-26,10,26,2,1442008
2021-10-26,10,26,3,480925
2021-10-26,10,26,4,311515
2021-10-25,10,25,0,1710558
2021-10-25,10,25,1,476672
2021-10-25,10,25,2,1442008
2021-10-25,10,25,3,480925
2021-10-25,10,25,4,311515
2021-10-24,10,24,0,1710558
2021-10-24,10,24,1,476672
2021-10-24,10,24,2,1442008
2021-10-24,10,24,3,480925
2021-10-24,10,24,4,311515
2021-10-21,10,21,0,1710558
2021-10-21,10,21,1,476672
2021-10-21,10,21,2,1442008
2021-10-21,10,21,3,480925
2021-10-21,10,21,4,311515
2021-10-20,10,20,0,1710558
2021-10-20,10,20,1,476672
2021-10-20,10,20,2,1442008
2021-10-20,10,20,3,480925
2021-10-20,10,20,4,311515
2021-10-19,10,19,0,1710558
2021-10-19,10,19,1,476672
2021-10-19,10,19,2,1442008
2021-10-19,10,19,3,480925
2021-10-19,10,19,4,311515
2021-10-18,10,18,0,1710558
2021-10-18,10,18,1,476672
2021-10-18,10,18,2,1442008
2021-10-18,10,18,3,480925
2021-10-18,10,18,4,311515
2021-10-17,10,17,0,1710558
2021-10-17,10,17,1,476672
2021-10-17,10,17,2,1442008
2021-10-17,10,17,3,480925
2021-10-17,10,17,4,311515
2021-10-14,10,14,0,1710558
2021-10-14,10,14,1,476672
2021-10-14,10,14,2,1442008
2021-10-14,10,14,3,480925
2021-10-14,10,14,4,311515
2021-10-13,10,13,0,1710558
2021-10-13,10,13,1,476672
2021-10-13,10,13,2,1442008
2021-10-13,10,13,3,480925
2021-10-13,10,13,4,311515
2021-10-12,10,12,0,1710558
2021-10-12,10,12,1,476672
2021-10-12,10,12,2,1442008
2021-10-12,10,12,3,480925
2021-10-12,10,12,4,311515
2021-10-11,10,11,0,1710558
2021-10-11,10,11,1,476672
2021-10-11,10,11,2,1442008
2021-10-11,10,11,3,480925
2021-10-11,10,11,4,311515
2021-10-07,10,7,0,1710558
2021-10-07,10,7,1,476672
2021-10-07,10,7,2,1442008
2021-10-07,10,7,3,480925
2021-10-07,10,7,4,311515
2021-10-06,10,6,0,1710558
2021-10-06,10,6,1,476672
2021-10-06,10,6,2,1442008
2021-10-06,10,6,3,480925
2021-10-06,10,6,4,311515
2021-10-05,10,5,0,1710558
2021-10-05,10,5,1,476672
2021-10-05,10,5,2,1442008
2021-10-05,10,5,3,480925
2021-10-05,10,5,4,311515
2021-10-04,10,4,0,1710558
2021-10-04,10,4,1,476672
2021-10-04,10,4,2,1442008
2021-10-04,10,4,3,480925
2021-10-04,10,4,4,311515
2021-10-03,10,3,0,1710558
2021-10-03,10,3,1,476672
2021-10-03,10,3,2,1442008
2021-10-03,10,3,3,480925
2021-10-03,10,3,4,311515
2021-09-30,9,30,0,1710558
2021-09-30,9,30,1,476672
2021-09-30,9,30,2,1442008
2021-09-30,9,30,3,480925
2021-09-30,9,30,4,311515
2021-09-29,9,29,0,1710558
2021-09-29,9,29,1,476672
2021-09-29,9,29,2,1442008
2021-09-29,9,29,3,480925
2021-09-29,9,29,4,311515
2021-09-28,9,28,0,1710558
2021-09-28,9,28,1,476672
2021-09-28,9,28,2,1442008
2021-09-28,9,28,3,480925
2021-09-28,9,28,4,311515
2021-09-27,9,27,0,1710558
2021-09-27,9,27,1,476672
2021-09-27,9,27,2,1442008
2021-09-27,9,27,3,480925
2021-09-27,9,27,4,311515
2021-09-26,9,26,0,1710558
2021-09-26,9,26,1,476672
2021-09-26,9,26,2,1442008
2021-09-26,9,26,3,480925
2021-09-26,9,26,4,311515
2021-09-23,9,23,0,1710558
2021-09-23,9,23,1,476672
2021-09-23,9,23,2,1442008
2021-09-23,9,23,3,480925
2021-09-23,9,23,4,311515
2021-09-22,9,22,0,1710558
2021-09-22,9,22,1,476672
2021-09-22,9,22,2,1442008
2021-09-22,9,22,3,480925
2021-09-22,9,22,4,311515
2021-09-21,9,21,0,1710558
2021-09-21,9,21,1,476672
2021-09-21,9,21,2,1442008
2021-09-21,9,21,3,480925
2021-09-21,9,21,4,311515
2021-09-19,9,19,0,1710558
2021-09-19,9,19,1,476672
2021-09-19,9,19,2,1442008
2021-09-19,9,19,3,480925
2021-09-19,9,19,4,311515
2021-09-16,9,16,0,1710558
2021-09-16,9,16,1,476672
2021-09-16,9,16,2,1442008
2021-09-16,9,16,3,480925
2021-09-16,9,16,4,311515
2021-09-15,9,15,0,1710558
2021-09-15,9,15,1,476672
2021-09-15,9,15,2,1442008
2021-09-15,9,15,3,480925
2021-09-15,9,15,4,311515
2021-09-14,9,14,0,1710558
2021-09-14,9,14,1,476672
2021-09-14,9,14,2,1442008
2021-09-14,9,14,3,480925
2021-09-14,9,14,4,311515
2021-09-13,9,13,0,1710558
2021-09-13,9,13,1,476672
2021-09-13,9,13,2,1442008
2021-09-13,9,13,3,480925
