date,Month,Day,location,dose_1,dose_2
2021-11-18,11,18,0,1320557,1261028
2021-11-18,11,18,1,311973,289778
2021-11-18,11,18,2,1108946,1057886
2021-11-18,11,18,3,297842,273153
2021-11-18,11,18,4,214698,201332
2021-11-17,11,17,0,1319762,1259424
2021-11-17,11,17,1,311679,289165
2021-11-17,11,17,2,1108444,1056717
2021-11-17,11,17,3,297499,272379
2021-11-17,11,17,4,214539,200988
2021-11-16,11,16,0,1318930,1257761
2021-11-16,11,16,1,311331,288358
2021-11-16,11,16,2,1107772,1055353
2021-11-16,11,16,3,297072,271353
2021-11-16,11,16,4,214327,200587
2021-11-15,11,15,0,1318119,1256040
2021-11-15,11,15,1,311048,287760
2021-11-15,11,15,2,1107267,1054151
2021-11-15,11,15,3,296078,270078
2021-11-15,11,15,4,214128,200206
2021-11-14,11,14,0,1317240,1253975
2021-11-14,11,14,1,310570,286764
2021-11-14,11,14,2,1106435,1052257
2021-11-14,11,14,3,295256,268702
2021-11-14,11,14,4,213933,199757
2021-11-11,11,11,0,1315541,1249377
2021-11-11,11,11,1,309810,284653
2021-11-11,11,11,2,1104909,1047896
2021-11-11,11,11,3,294472,266509
2021-11-11,11,11,4,213510,198587
2021-11-09,11,9,0,1314304,1246540
2021-11-09,11,9,1,309208,283146
2021-11-09,11,9,2,1103789,1045147
2021-11-09,11,9,3,293885,265228
2021-11-09,11,9,4,213269,197874
2021-11-08,11,8,0,1313626,1245070
2021-11-08,11,8,1,308904,282474
2021-11-08,11,8,2,1103145,1043782
2021-11-08,11,8,3,293567,264507
2021-11-08,11,8,4,213116,197532
2021-11-07,11,7,0,1312870,1243456
2021-11-07,11,7,1,308552,281678
2021-11-07,11,7,2,1101945,1041072
2021-11-07,11,7,3,293171,263622
2021-11-07,11,7,4,212940,197226
2021-11-04,11,4,0,1310901,1238575
2021-11-04,11,4,1,307882,279619
2021-11-04,11,4,2,1100741,1037504
2021-11-04,11,4,3,292459,261691
2021-11-04,11,4,4,212511,196138
2021-11-03,11,3,0,1310215,1236854
2021-11-03,11,3,1,307612,278891
2021-11-03,11,3,2,1100067,1035730
2021-11-03,11,3,3,292081,260703
2021-11-03,11,3,4,212314,195715
2021-11-02,11,2,0,1309493,1235250
2021-11-02,11,2,1,307269,278041
2021-11-02,11,2,2,1099351,1034036
2021-11-02,11,2,3,291712,259756
2021-11-02,11,2,4,212089,195195
2021-10-31,10,31,0,1307895,1231355
2021-10-31,10,31,1,306514,276389
2021-10-31,10,31,2,1097846,1030359
2021-10-31,10,31,3,290763,257728
2021-10-31,10,31,4,211700,194339
2021-10-28,10,28,0,1305756,1225119
2021-10-28,10,28,1,305655,274014
2021-10-28,10,28,2,1095968,1024552
2021-10-28,10,28,3,289809,255325
2021-10-28,10,28,4,211187,192829
2021-10-27,10,27,0,1304969,1222667
2021-10-27,10,27,1,305266,272966
2021-10-27,10,27,2,1095163,1022286
2021-10-27,10,27,3,289183,253999
2021-10-27,10,27,4,210945,192216
2021-10-26,10,26,0,1304134,1220277
2021-10-26,10,26,1,304821,271849
2021-10-26,10,26,2,1094377,1019895
